accident_index,year,location_easting_osgr,location_northing_osgr,longitude,latitude,urban_or_rural_area,lad2014_code,lad2014_name,road_class,road_classcat,cas_severity,cas_mode
2014440249141,2014,438339,117454,-1.455544948577881,50.95518493652344,1,E07000093,Test Valley,Motorway,Motorway,Serious,car/taxi
200920Z007801,2009,399080,298520,-2.015022039413452,52.58445739746094,1,E08000030,Walsall,Motorway,Motorway,Serious,car/taxi
200904TA09144,2009,351030,470560,-2.750874996185303,54.1285514831543,2,E07000121,Lancaster,Motorway,Motorway,Serious,car/taxi
2011231196153,2011,430390,286050,-1.554049968719482,52.47151184082031,2,E07000218,North Warwickshire,Motorway,Motorway,Serious,car/taxi
2008030001043,2008,348810,535720,-2.796112060546875,54.71388626098633,2,E07000030,Eden,Motorway,Motorway,Serious,car/taxi
2005130538005,2005,445560,423940,-1.311226010322571,53.70989608764648,2,E08000036,Wakefield,Motorway,Motorway,Serious,car/taxi
200506X919457,2005,373790,398110,-2.396406888961792,53.47904586791992,2,E08000006,Salford,Motorway,Motorway,Fatal,light goods
2013130277980,2013,449990,422054,-1.244420051574707,53.69254302978516,2,E08000036,Wakefield,Motorway,Motorway,Serious,car/taxi
20074100T3058,2007,507120,199110,-.4520240128040314,51.68049621582031,2,E07000102,Three Rivers,Motorway,Motorway,Serious,car/taxi
201004TA10129,2010,380940,432160,-2.290767908096313,53.78540802001953,2,E07000117,Burnley,Motorway,Motorway,Serious,pedestrian
2008330806479,2008,447000,329650,-1.303334951400757,52.86226654052734,2,E07000134,North West Leicestershire,Motorway,Motorway,Fatal,car/taxi
200704TA07239,2007,358530,424840,-2.629895925521851,53.71831130981445,2,E07000126,South Ribble,Motorway,Motorway,Serious,car/taxi
201043P038040,2010,455170,219570,-1.200070023536682,51.87194061279297,2,E07000177,Cherwell,Motorway,Motorway,Serious,motorcycle
2010231095132,2010,429600,285890,-1.565693974494934,52.47011947631836,2,E07000218,North Warwickshire,Motorway,Motorway,Serious,car/taxi
2005230591349,2005,426000,262810,-1.620471000671387,52.26280975341797,2,E07000222,Warwick,Motorway,Motorway,Serious,car/taxi
2005460117130,2005,553380,168910,.2034779936075211,51.3984375,2,E07000111,Sevenoaks,Motorway,Motorway,Serious,car/taxi
2017450252946,2017,531367,151501,-.11917,51.247559,2,E07000215,Tandridge,Motorway,Motorway,Serious,car/taxi
2009440031406,2009,465900,151640,-1.056957960128784,51.26006317138672,2,E07000084,Basingstoke and Deane,Motorway,Motorway,Serious,car/taxi
